sent_id	tb	text	original text	v2.8 text	v2.11 text
pop_1901	v2.8		Bakkal Ziya...	Bakkal Ziya...	Bakkal Ziya...
pop_1901	v2.11		Bakkal Ziya...	Bakkal Ziya...	Bakkal Ziya...
bio_1087	v2.8		Ayrıca aralarında Türklerin de bulunduğu bir briç takımları varmış ve briç oynarken yalnızca Türkçe konuşmaya özen gösterirlermiş.	Ayrıca aralarında Türklerin de bulunduğu bir briç takımları vardı ve briç oynarken yalnızca Türkçeye konuşmaya özen gösteriyorlar.	Ayrıca aralarında Türklerin de bulunduğu bir briç takımını vardı ve briç oynamak yalnızca Türkçe konuşmaya özen gösteriyordu.
bio_1087	v2.11		Ayrıca aralarında Türklerin de bulunduğu bir briç takımları varmış ve briç oynarken yalnızca Türkçe konuşmaya özen gösterirlermiş.	Ayrıca aralarında Türklerin de bulunduğu bir briç takımları vardı ve briç oynarken yalnızca Türkçeye konuşmaya özen gösteriyorlar.	Ayrıca aralarında Türklerin de bulunduğu bir briç takımını vardı ve briç oynamak yalnızca Türkçe konuşmaya özen gösteriyordu.
ins_1863	v2.8		Böyle suları demir ve manganezden kurtarmak için en basit usul, suları havalandırmaktır.	Böyle suları demir ve manganesten kurtarmak için en basit usul, suları havalandırmaktır.	Böyle suları demir ve manganezden kurtarma için en basit usul, suları havalandırmayıdır.
ins_1863	v2.11		Böyle suları demir ve manganezden kurtarmak için en basit usul, suları havalandırmaktır.	Böyle suları demir ve manganesten kurtarmak için en basit usul, suları havalandırmaktır.	Böyle suları demir ve manganezden kurtarma için en basit usul, suları havalandırmayıdır.
bio_1401	v2.8		Ama on üç on dört yaşma geldiğimde, gene evdeki konuşmalardan, biliyordum bunların olduğunu.	Ama on üç, on dört yaşına gelmişken, genelde evden konuşmalarından, bildiğim bu olmuştu.	Ama on üç on dört yaşım geldiğinde, gene evdeki konuşmalardan, bildiğim bu oldu.
bio_1401	v2.11		Ama on üç on dört yaşma geldiğimde, gene evdeki konuşmalardan, biliyordum bunların olduğunu.	Ama on üç, on dört yaşına gelmişken, genelde evden konuşmalarından, bildiğim bu olmuştu.	Ama on üç on dört yaşım geldiğinde, gene evdeki konuşmalardan, bildiğim bu oldu.
ess_316	v2.8		Anlatmayı, uyandırmayı sürdürebilmek için, ayakta-diri kalmayı becerme zorunluluğunu, sorumluluğunu duymaktan...	Anlattı, uyandırdı, sürdürebilir için, ayakta - dirisi kaldı, becerdi, zorunluluğu, sorumluluğu duyduklarından...	Anlatmayı, uyandırmayı, sürdürebilmek için, ayakta, diriyi kalmayı becerme zorunluluğu, sorumluluğu duymaktan...
ess_316	v2.11		Anlatmayı, uyandırmayı sürdürebilmek için, ayakta-diri kalmayı becerme zorunluluğunu, sorumluluğunu duymaktan...	Anlattı, uyandırdı, sürdürebilir için, ayakta - dirisi kaldı, becerdi, zorunluluğu, sorumluluğu duyduklarından...	Anlatmayı, uyandırmayı, sürdürebilmek için, ayakta, diriyi kalmayı becerme zorunluluğu, sorumluluğu duymaktan...
pop_795	v2.8		Aşağı yukarı böyle bir şey; detayları atlamış olabilirim zira çok uzun yıllardır bu faaliyette bulunmuyorum.	Aşağı yukarı böyle bir şey; detayları atlamış olabilirim zira çok uzun yıllardır bu faaliyette bulunmuyorum.	Aşağı yukarı böyle bir şey; detayları atlamış olabilirim zira çok uzun yıllar bu faaliyette bulunmadım.
pop_795	v2.11		Aşağı yukarı böyle bir şey; detayları atlamış olabilirim zira çok uzun yıllardır bu faaliyette bulunmuyorum.	Aşağı yukarı böyle bir şey; detayları atlamış olabilirim zira çok uzun yıllardır bu faaliyette bulunmuyorum.	Aşağı yukarı böyle bir şey; detayları atlamış olabilirim zira çok uzun yıllar bu faaliyette bulunmadım.
ess_976	v2.8		Onun kadar renkli değilim.	Onun kadar renkli değildim.	Onun kadar renkli değilim.
ess_976	v2.11		Onun kadar renkli değilim.	Onun kadar renkli değildim.	Onun kadar renkli değilim.
ins_613	v2.8		Müthiş bir güreşçi olan Süleyman Bey hiç kuşkusuz farklı koşullar altında sonraki yıllarda dünya ve hatta olimpiyat şampiyonu olabilecek yeteneğe de sahipmiş.	Müthiş bir güreş olan Süleyman bey hiç kuşkusuz farklı koşullarının altında sonra yıllarda Dünya ve hat olimpiyat şampiyonu olabilecek yeteneğe de sahipti.	Müthiş bir güreşçi olan Süleyman Bey, hiç kuşkusuz farklı koşullar altında sonraki yıllarda dünya ve hatta olimpiyat şampiyonu olabilecek yeteneğe de sahipti.
ins_613	v2.11		Müthiş bir güreşçi olan Süleyman Bey hiç kuşkusuz farklı koşullar altında sonraki yıllarda dünya ve hatta olimpiyat şampiyonu olabilecek yeteneğe de sahipmiş.	Müthiş bir güreş olan Süleyman bey hiç kuşkusuz farklı koşullarının altında sonra yıllarda Dünya ve hat olimpiyat şampiyonu olabilecek yeteneğe de sahipti.	Müthiş bir güreşçi olan Süleyman Bey, hiç kuşkusuz farklı koşullar altında sonraki yıllarda dünya ve hatta olimpiyat şampiyonu olabilecek yeteneğe de sahipti.
pop_85	v2.8		İnsanlar farkında bile olmadan, yaşamlarını sanal ortamda ve sanal insanlarla yaşamaya ve paylaşmaya başlarlar.	İnsanların farkında bile olmadan, yaşamlarını sanal ortamda ve sanal insanlarla yaşayıp ve paylaşıma başlarlar.	İnsanların farkında bile olmadan, yaşamlarını sanal ortamda ve sanalla insanlarla yaşayarak ve paylaşarak başlarlar.
pop_85	v2.11		İnsanlar farkında bile olmadan, yaşamlarını sanal ortamda ve sanal insanlarla yaşamaya ve paylaşmaya başlarlar.	İnsanların farkında bile olmadan, yaşamlarını sanal ortamda ve sanal insanlarla yaşayıp ve paylaşıma başlarlar.	İnsanların farkında bile olmadan, yaşamlarını sanal ortamda ve sanalla insanlarla yaşayarak ve paylaşarak başlarlar.
ess_1514	v2.8		Kimsenin saçı dökülmezse, o ürünü kullanmaya ne hacet!	Kimsenin saçı dökülmezse, o ürünü kullanmane hacet!	Kimsenin saçı dökülmezse, o ürünü kullanmaya ne hacet!
ess_1514	v2.11		Kimsenin saçı dökülmezse, o ürünü kullanmaya ne hacet!	Kimsenin saçı dökülmezse, o ürünü kullanmane hacet!	Kimsenin saçı dökülmezse, o ürünü kullanmaya ne hacet!
news_1434	v2.8		Onların değişmemeleri, işte bir arpa boyu dahi ilerlemeyen Türkiyemizin kara bahtıdır.	Onların değişmezleri, iş bir arpanın boyu dâhi ilerlemezken Türkiyemizin kara bahtı.	Onların değişmeyişi, işte bir arpa boyu dahi ilerlemeyen Türkiyemizin kara bahtıdır.
news_1434	v2.11		Onların değişmemeleri, işte bir arpa boyu dahi ilerlemeyen Türkiyemizin kara bahtıdır.	Onların değişmezleri, iş bir arpanın boyu dâhi ilerlemezken Türkiyemizin kara bahtı.	Onların değişmeyişi, işte bir arpa boyu dahi ilerlemeyen Türkiyemizin kara bahtıdır.
news_1344	v2.8		Bu kararla polise ve savcılıklara bu yönde yapılan şikâyetlerin de azalacağı belirtildi.	Bu kararla polise ve savcılığa bu yönde yapılan şikâyetlerde azalış belirlendi.	Bu kararla polise ve savcılıklara bu yönde yapılan şikâyetler de azalacak belirlendi.
news_1344	v2.11		Bu kararla polise ve savcılıklara bu yönde yapılan şikâyetlerin de azalacağı belirtildi.	Bu kararla polise ve savcılığa bu yönde yapılan şikâyetlerde azalış belirlendi.	Bu kararla polise ve savcılıklara bu yönde yapılan şikâyetler de azalacak belirlendi.
ins_1085	v2.8		Asla yollarını şaşırmazlar! Her akşam tarlalardan kalkıp sürüler hâlinde göle doğru uçarlar.	Asla yollarını şaşırmazlar! Her akşam tarlalardan kalkan sürüler hâlinde göle doğru uçarlar.	Asla yollarını şaşırmazlar! Her akşam tarlalardan kalkan sürüler hâlinde göle doğru uçarlar.
ins_1085	v2.11		Asla yollarını şaşırmazlar! Her akşam tarlalardan kalkıp sürüler hâlinde göle doğru uçarlar.	Asla yollarını şaşırmazlar! Her akşam tarlalardan kalkan sürüler hâlinde göle doğru uçarlar.	Asla yollarını şaşırmazlar! Her akşam tarlalardan kalkan sürüler hâlinde göle doğru uçarlar.
ins_1037	v2.8		Hem bir şeyler satmaya hem bir şeyler alıp gelmeye.	Hem bir şeyleri sat hem bir şeyleri al gel.	Hem bir şeyleri satmaya hem bir şeyleri alıp gelmeye.
