sent_id	tb	text	original text	v2.8 text	v2.11 text
ins_922	v2.8		"""Atatürk bu kitapları bir süs olsun diye toplamamıştır."	ATATÜRK, bu kitapları bir süs olsun diye toplamadı.	"""ATATÜRK bu kitapları bir süs olsun diye toplamadı."
news_775	v2.8		"""Alıp Götürsen Beni Oraya"""	"""Al, götürsün beni oraya."""	"""""Al, götürürsen beni oraya."""""
news_775	v2.11		"""Alıp Götürsen Beni Oraya"""	"""Al, götürsün beni oraya."""	"""""Al, götürürsen beni oraya."""""
pop_93	v2.8		Bu yüzden fiyasko demek haksızlık olur.	Bu yüzden fiyasko dediği hâk olur.	Bu yüzden fiyasko da haksızlık olur.
pop_1447	v2.11		(Olmuyor ama, böyle de olmuyor aabi).	(Olmuyor ama, böyle de olmuyor AABİ).	(Olmaması ama, böyle de olmamalı abi).
bio_1730	v2.8		Birden beni görmelerinden, hatırlamalarından korkuyorum.	Birden beni görünce, hatırlayınca korkuyorum.	Bir beni görün, hatırlayın, korkuyorum.
bio_1730	v2.11		Birden beni görmelerinden, hatırlamalarından korkuyorum.	Birden beni görünce, hatırlayınca korkuyorum.	Bir beni görün, hatırlayın, korkuyorum.
ins_1378	v2.11		Kitaplarını okuyanlar yarının dünyasını görür gibi oluyorlardı.	Kitaplarını okuyan yarısının Dünyayı gör gibi oldular.	Kitaplarını okuyan yarısının Dünyayı görür gibi olmuştu.
ins_1049	v2.8		Çoğu denize girmek yerine güneşlenmeyi seçmiş gibiydi.	Çoğu denize girdiği yerde güneşle seçilmiş gibiymiş.	Çoğu denize girilen yer güneşlenmeyi seçilir gibi.
ess_316	v2.8		Anlatmayı, uyandırmayı sürdürebilmek için, ayakta-diri kalmayı becerme zorunluluğunu, sorumluluğunu duymaktan...	Anlattı, uyandırdı, sürdürebilir için, ayakta - dirisi kaldı, becerdi, zorunluluğu, sorumluluğu duyduklarından...	Anlatmayı, uyandırmayı, sürdürebilmek için, ayakta, diriyi kalmayı becerme zorunluluğu, sorumluluğu duymaktan...
ins_1661	v2.8		Bir sonraki gelişlerinde düzlüğü daha berbat bulmuşlar.	Bir sonradan geliş düzde daha berbat buldular.	Bir sonraki gelişlerinde düzlüğü daha berbat bulmuşlar.
bio_1319	v2.8		Bir türlü avunamıyormuş.	Bir türlü avunamadı.	Bir türlü avunabilmiş.
bio_1319	v2.11		Bir türlü avunamıyormuş.	Bir türlü avunamadı.	Bir türlü avunabilmiş.
pop_1154	v2.11		Balık kendi hayal dünyasında yaşar.	Balık kendi hayali Dünyasında yaşar.	Balık kendi hayalindeki Dünyada yaşıyor.
bio_788	v2.8		Sabıka dosyası kabarık birisi olarak yapabileceğim en iyi şey yatacak yer verebilen bir işe girmekti.	Sabıka dosyası kabarık biriyse, en iyi yapabileceğim şey yatacağı yeri verip bir işe gireceği.	Sabıka dosyası kabarık biri olup, yapabileceğim en iyi şey yatacağım yeri vererek bir işe gireceği.
bio_482	v2.8		Ama şimdi fedakarlık sırası bende idi.	Ama şimdi fedakarın sırası bana geldi.	Ama şimdi fedakarlık sırası bendedi.
ess_168	v2.8		""" MADDE MADDE ""Bana sağcılar cinayet işliyor dedirtemezsiniz. "" İnsanı alıp uçurumdan iten tek şey."	"""Madde maddeye bana sağları, cinayeti işlerde.""
""İnsanı al, uçurumdan it, tek şey."""	"""Madde madde"""" bana sağcıların cinayeti işlemeyin dedi. """"İnsanı alıp uçurumdan iten tek şey."""
ess_168	v2.11		""" MADDE MADDE ""Bana sağcılar cinayet işliyor dedirtemezsiniz. "" İnsanı alıp uçurumdan iten tek şey."	"""Madde maddeye bana sağları, cinayeti işlerde.""
""İnsanı al, uçurumdan it, tek şey."""	"""Madde madde"""" bana sağcıların cinayeti işlemeyin dedi. """"İnsanı alıp uçurumdan iten tek şey."""
bio_1401	v2.8		Ama on üç on dört yaşma geldiğimde, gene evdeki konuşmalardan, biliyordum bunların olduğunu.	Ama on üç, on dört yaşına gelmişken, genelde evden konuşmalarından, bildiğim bu olmuştu.	Ama on üç on dört yaşım geldiğinde, gene evdeki konuşmalardan, bildiğim bu oldu.
bio_902	v2.8		"Bunu diyenler ""Anadolu çocukları""."	"Bunu da"" ""Anadolu çocuğu""."	"Bunu dede, ""Anadolu'nun çocukları""."
bio_531	v2.11		Küçük çanlara çocuklar asılmışlar, onları kendilerine salıncak yapmış, sallanmaktadırlar.	Küçük çanlara çocuklar asıldı, onları kendi salıncak yaptı, sallanıyor.	Küçük çanlara çocuklar asıldı, onları kendi salıncağını yaptı, sallanıyor.
ess_36	v2.8		sonra da yaşa, diyorsun.	Sonra da yaşa, değişiyor.	Sonra da yaşa, desin.
ess_36	v2.11		sonra da yaşa, diyorsun.	Sonra da yaşa, değişiyor.	Sonra da yaşa, desin.
ess_1244	v2.8		"Ya da onu ""paketliyorlar"" bir bakıma..."	"Ya da o"", paketle ""bir bakıma..."	"Ya da onu \""paketler\"" bir bakıma..."
ins_199	v2.11		İçimize doya doya çekerdik bu var oluşun kokusunu.	İçimize dodoğa çekeriz bu var olan kokuyu.	İçimize doysun, çekiyoruz bu varolun kokusunu.
ins_1051	v2.8		tubitak: Alan adını gösterir.	TUBİTAK: Alanının adını gösterir.	TUBİTAK: Alanının adını gösterir.
ins_1051	v2.11		tubitak: Alan adını gösterir.	TUBİTAK: Alanının adını gösterir.	TUBİTAK: Alanının adını gösterir.
pop_315	v2.8		"""Anneler Günü""nü gereksiz gördüğünden, o gün geldi mi farkında değilmiş havalarına girerdi."	Anneler Günü'nün gerekçesi, o gün gelmiş miydi farkında değildi, havalara giriyordu.	Anneler Günü'nün gereğini gördükten sonra, o gün gelmiş miydi farkında değildi havaya girer.
pop_315	v2.11		"""Anneler Günü""nü gereksiz gördüğünden, o gün geldi mi farkında değilmiş havalarına girerdi."	Anneler Günü'nün gerekçesi, o gün gelmiş miydi farkında değildi, havalara giriyordu.	Anneler Günü'nün gereğini gördükten sonra, o gün gelmiş miydi farkında değildi havaya girer.
bio_1210	v2.11		Bana dönüp, Aferin lan güzel iş becerdin...	Bana dön, Aferin LAN, güzel iş becerdin...	Bana dönerek, Aferin LAN, güzel işi becermişsin...
ess_1248	v2.8		BIRAKMAZ DEDİKLERİM ÇOKTAN TERKETTİ, GİTMEZ SANDIKLARIM MEÇHUL.	Bırakmaz deden çok terketti, gitmez sandıklarım meçhul.	Bırakmayan dediklerimden çok terketti, gitmeyen sandıklarıma meçhul.
ess_1248	v2.11		BIRAKMAZ DEDİKLERİM ÇOKTAN TERKETTİ, GİTMEZ SANDIKLARIM MEÇHUL.	Bırakmaz deden çok terketti, gitmez sandıklarım meçhul.	Bırakmayan dediklerimden çok terketti, gitmeyen sandıklarıma meçhul.
ess_1197	v2.11		"""İnandır beni"" diyor, ""o yaşarsa sana inanacağım."	"""İnanan beni,"" dedi, ""o yaşasa sana inanacağım."	"İnan bana"", dedi, ""O yaşayacaksa, sana inanacağım."
bio_1762	v2.11		Mahmut'un düzeni bozulabilirdi.	Mahmut'un düzeni bozulabilmiş.	Mahmut'un düzenini bozuyordu.
pop_1600	v2.8		"""İsyan... Yorgunum be!.."""	İş... yorgunum, b!..	"""İsyan... yorgunum be!.."""
ins_793	v2.8		Bunu söylemek istemiştim.	Bunu söyle istedim.	Bu söylemişteyim.
ins_793	v2.11		Bunu söylemek istemiştim.	Bunu söyle istedim.	Bu söylemişteyim.
news_564	v2.8		Oluşturulan metnin izleyiciler tarafından anlamlandırılması ise zamanla oluyor.	Oluşan metnin izlenmesi tarafından anlaşılırsa, zamanla oluyor.	Oluşan metnin izlemeleri tarafından anlaşılması i zaman olur.
news_564	v2.11		Oluşturulan metnin izleyiciler tarafından anlamlandırılması ise zamanla oluyor.	Oluşan metnin izlenmesi tarafından anlaşılırsa, zamanla oluyor.	Oluşan metnin izlemeleri tarafından anlaşılması i zaman olur.
bio_145	v2.11		Bak dirençli olduğunu da gösterdin.	Bak, direnç olmuş da gösterdin.	Bak, dirençli olmuş da göstermişsin.
bio_1103	v2.8		Elini beline götürdüğünde, karşısındakinin fark edeceğini bildiğinden çok dikkatli davranırdı.	Elini beline götür, karşısındaki farkı etmekte bilen çok dikkat davranır.	Elini beline götürüp, karşısındaki farkı etmeyi bilip çok dikkatli davranıyordu.
bio_1103	v2.11		Elini beline götürdüğünde, karşısındakinin fark edeceğini bildiğinden çok dikkatli davranırdı.	Elini beline götür, karşısındaki farkı etmekte bilen çok dikkat davranır.	Elini beline götürüp, karşısındaki farkı etmeyi bilip çok dikkatli davranıyordu.
bio_1705	v2.11		Atatürk komadayken başucunda doktorların tedavi kavgası sürüyordu.	ATATÜRK komadayken başucundaki doktorların tedavisi kavgası sürüyordu.	ATATÜRK komadayken başucundaki doktorların tedavisi kavgasını sürdürmüştü.
