sent_id,original,Tarık_v2.8,Tarık_v2.11,Akif_v2.8,Akif_v2.11,llm_v2.8,llm_v2.11,accuracy_Tarık_v2.8,accuracy_Tarık_v2.11,accuracy_Akif_v2.8,accuracy_Akif_v2.11,accuracy_llm_v2.8,accuracy_llm_v2.11
pop_1901,Bakkal Ziya...,Bakkal Ziya...,Bakkal Ziya...,Bakkal Ziya...,Bakkal Ziya...,"""Bakkal Ziya...""","""Bakkal Ziya...""",100.00,100.00,100.00,100.00,100.00,100.00
bio_1087,Ayrıca aralarında Türklerin de bulunduğu bir briç takımları varmış ve briç oynarken yalnızca Türkçe konuşmaya özen gösterirlermiş.,Ayrıca aralarında Türklerin de bulunduğu bir briç takımları varmış ve briç oynarken yalnızca Türkçe konuşmaya özen gösterirlermiş.,Ayrıca aralarında Türklerin de bulunduğu bir briç takımları varmış ve briç oynarken yalnızca Türkçe konuşmaya özen gösterirlermiş.,Ayrıca aralarında Türklerin de bulunduğu bir briç takımı varmış ve briç oynarken yalnızca Türkçe konuşmaya özen gösterirlermiş.,Ayrıca aralarında Türklerin de bulunduğu bir briç takımı varmış ve briç oynarken yalnızca Türkçe konuşmaya özen gösterirlermiş..,"""Ayrıca aralarında Türklerin de bulunduğu bir briç takımları vardı ve briç oynarken yalnızca Türkçeye konuşmaya özen gösteriyorlar.""","""Ayrıca aralarında Türklerin de bulunduğu bir briç takımını vardı ve briç oynamak yalnızca Türkçe konuşmaya özen gösteriyordu.""",100.00,100.00,94.44,88.89,83.33,77.78
ins_1863,"Böyle suları demir ve manganezden kurtarmak için en basit usul, suları havalandırmaktır.","Böyle suları demir ve manganezden kurtarmak için en basit usul, suları havalatmaktır.","Böyle sularını demir ve manganezden kurtarmak için en basit usul, suları havalandırmaktır.","Böyle suları Demir ve manganezden kurtar için en basit usul, suları havattırdır.","Böyle suları demir ve manganezden kurtarmak için en basit usul, suları havalandırmaktır.","""Böyle suları demir ve manganesten kurtarmak için en basit usul, suları havalandırmaktır.""","""Böyle suları demir ve manganezden kurtarma için en basit usul, suları havalandırmayıdır.""",92.86,92.86,78.57,100.00,92.86,85.71
bio_1401,"Ama on üç on dört yaşma geldiğimde, gene evdeki konuşmalardan, biliyordum bunların olduğunu.","Ama on üç on dört yaş geldiğinde, gen evde konuşdan, biliyordu bunların olduğunu.","Ama on üç on dört yaş geldiğinde, gene evdeki konuşmalardan, bilecekti bunların olduğunu.","Ama on üç on dört yaşıydı geldiğinde, gen evde konuştan, biliyordu bunun olduğunu","Ama on üç on dördü yaş geldiğinde, gene evdeki konuşmalardan, biliyordu bunun olduğunu","""Ama on üç, on dört yaşına gelmişken, genelde evden konuşmalarından, bildiğim bu olmuştu.""","""Ama on üç on dört yaşım geldiğinde, gene evdeki konuşmalardan, bildiğim bu oldu.""",62.50,81.25,50.00,62.50,50.00,68.75
ess_316,"Anlatmayı, uyandırmayı sürdürebilmek için, ayakta-diri kalmayı becerme zorunluluğunu, sorumluluğunu duymaktan...","Anlat, uyandır sürdürebil için ayakta - dirisi kal becer zorunlusunu, sorumlusu duy...","Anlatmayı, uyandırmayı sürdürebilmek için, ayakta - dirisi kalmayı becer zorunluluğını, sorumluluğunu duymaktan...","Anlatmayı, uyandırmayı sürdürebilmek için, ayakta - dirisi kalmayı becermek zorunlusunu, sorumlusu duymaktan","Anlatmayı, uyandırmayı sürdürebilmek için, ayakta - dirisi kalmayı becermek zorunluluğunu, sorumluluğunu duymaktan...","""Anlattı, uyandırdı, sürdürebilir için, ayakta - dirisi kaldı, becerdi, zorunluluğu, sorumluluğu duyduklarından...""","""Anlatmayı, uyandırmayı, sürdürebilmek için, ayakta, diriyi kalmayı becerme zorunluluğu, sorumluluğu duymaktan...""",37.50,81.25,68.75,87.50,37.50,75.00
pop_795,Aşağı yukarı böyle bir şey; detayları atlamış olabilirim zira çok uzun yıllardır bu faaliyette bulunmuyorum.,Aşağı yukarı böyle bir şey; detaylar atlamış olabilirim zira çok uzun yıl bu faaliyette bulunmuyorum.,Aşağı yukarı böyle bir şey; detayları atlamış olabilirim zira çok uzun yıllar bu faaliyette bulunmuyorum.,aşağı yukarı böyle bir şey ; detayları atlamış olurum zira çok uzun yıldır bu faaliyette bulunmuyorum. ,aşağı yukarı böyle bir şey ; detaylarını atlamış olurum zira çok uzun yıllar bu faaliyette bulunmuyorum.,"""Aşağı yukarı böyle bir şey; detayları atlamış olabilirim zira çok uzun yıllardır bu faaliyette bulunmuyorum.""","""Aşağı yukarı böyle bir şey; detayları atlamış olabilirim zira çok uzun yıllar bu faaliyette bulunmadım.""",88.24,94.12,82.35,76.47,100.00,88.24
ess_976,Onun kadar renkli değilim.,Onun kadar renk değili.,Onun kadar renkli değilim.,onun kadar renk değili.,onun kadar renkli değil.,"""Onun kadar renkli değildim.""","""Onun kadar renkli değilim.""",60.00,100.00,40.00,60.00,80.00,100.00
ins_613,Müthiş bir güreşçi olan Süleyman Bey hiç kuşkusuz farklı koşullar altında sonraki yıllarda dünya ve hatta olimpiyat şampiyonu olabilecek yeteneğe de sahipmiş.,Müthiş bir güreş olmakta Süleyman Bey hiç kuşku fark koşullar altında sonra yıllarda Dünya ve hat olimpiyat şampiyonu olabilecek yeteneğe de sahipmiş.,Müthiş bir güreşçiyi olan Süleyman bey hiç kuşkusuz farklı koşullar altında sonraki yıllarda dünya ve hatta olimpiyat şampiyonu olabilecek yeteneğe de sahipmiş.,Müthiş bir güreş olan Süleyman bey hiç kuşku fark koşullar altında sonra yıllarda Dünya ve hat olimpiyat şampiyonu olacak yetenekte de sahipmiş.,Müthiş bir güreşçi olan Süleyman bey hiç kuşkusuz farklı koşullar altında sonraki yıllarda dünya ve hatta olimpiyat şampiyonu olacak yeteneğe de sahipmiş.,"""Müthiş bir güreş olan Süleyman bey hiç kuşkusuz farklı koşullarının altında sonra yıllarda Dünya ve hat olimpiyat şampiyonu olabilecek yeteneğe de sahipti.""","""Müthiş bir güreşçi olan Süleyman Bey, hiç kuşkusuz farklı koşullar altında sonraki yıllarda dünya ve hatta olimpiyat şampiyonu olabilecek yeteneğe de sahipti.""",69.57,91.30,60.87,91.30,69.57,95.65
pop_85,"İnsanlar farkında bile olmadan, yaşamlarını sanal ortamda ve sanal insanlarla yaşamaya ve paylaşmaya başlarlar.","İnsanlar farkında bile ol, yaşamlarını sanal ortamda ve sanal insanlarla yaşa ve paylaş başla.","İnsanlar farkında bile olmadan, yaşamlarını sanal ortamda ve sanal insanlarla yaşamaya ve paylaşmaya başlarlar.","insanlar farkında bile olmadan, yaşamlarını sanal ortamda ve sanal insanlarla yaşamaya ve paylaşmaya başlarlar.","insanlar farkında bile olmadan, yaşamlarını sanal ortamda insanlarla yaşamaya ve paylaşmaya başlarlar.","""İnsanların farkında bile olmadan, yaşamlarını sanal ortamda ve sanal insanlarla yaşayıp ve paylaşıma başlarlar.""","""İnsanların farkında bile olmadan, yaşamlarını sanal ortamda ve sanalla insanlarla yaşayarak ve paylaşarak başlarlar.""",75.00,100.00,93.75,56.25,81.25,75.00
ess_1514,"Kimsenin saçı dökülmezse, o ürünü kullanmaya ne hacet!","Kimsenin saçı dökülmezse, o ürünü kullan ne hacet!","Kimsenin saçı dökülmezse, o ürünü kullanmaya ne hacet!","kimsenin saçı dökülmezse, o ürünü kullanmaya ne hacet !","kimsenin saçı dökülmezse, o ürünü kullanmaya ne hacet !","""Kimsenin saçı dökülmezse, o ürünü kullanmane hacet!""","""Kimsenin saçı dökülmezse, o ürünü kullanmaya ne hacet!""",90.00,100.00,90.00,90.00,80.00,100.00
