ins_833
----
# sent_id = ins_833
# text = 1936 yılında değiliz.
1	1936	1936	NUM	Year	Case=Nom|Number=Sing|Person=3	2	nmod:poss	_	_
2-3	yılında	_	_	_	_	_	_	_	SpaceAfter=No
2	yıl	yıl	NOUN	_	Case=Loc|Number=Sing|Number[psor]=Sing|Person=3|Person[psor]=3	0	root	_	_
3	nda	null	AUX	Zero	Number=Plur|Person=1|Polarity=Neg|Tense=Pres	2	cop	_	_
4	.	.	PUNCT	Stop	_	2	punct	_	SpacesAfter=\n
----
# sent_id = ins_833
# text = 1936 yılındayız.
1	1936	1936	NUM	Year	Case=Nom|Number=Sing|Person=3	2	nmod:poss	_	_
2-3	yılındayız	_	_	_	_	_	_	_	SpaceAfter=No
2	yılında	yıl	NOUN	_	Case=Loc|Number=Sing|Number[psor]=Sing|Person=3|Person[psor]=3	0	root	_	_
3	yız	null	AUX	Zero	Number=Plur|Person=1|Polarity=Pos|Tense=Pres	2	cop	_	_
4	.	.	PUNCT	Stop	_	2	punct	_	SpacesAfter=\n
----
========================
