ins_833	1936 yılında değiliz.	1936 yılındayız.
bio_1265	Adeta kendi geçmiş bir hâldeyim.	Adeta kendimden geçmiş bir haldeyim.
ins_1281	O nasıl uğraşıp durmuştu ki sanatına kendi emanet olup da Üstad'ın var yaptığını söyleyebilir?	O nasıl derse desin uğraştığı sanatın kendisine emanet olduğunu söyleyen üstadları vardı.
pop_1958	Ahmed Rasim, Büyükada'ya git birkaç gün kal tasarlaydı.	Ahmed Rasim, Büyükada'ya gidip birkaç gün kalmayı tasarlamıştı.
ins_1267	Rüzgâr yine güçlü esti.	Rüzgâr yine güçlü esiyordu.
news_1025	Öte yan sarı-lacivertli, yarın Samandıra tesisinde Türk Telekom lig takımı Kocaelispor'la saat 19.30'da bir hazırlık maçı yap.	Öte yandan Sarı-Lacivertliler, yarın Samandıra Tesisleri'nde Türk Telekom Lig A takımlarından Kocaelispor'la saat 19.30'da bir hazırlık maçı yapacak.
ess_1258	Peki, kim bu küçük ve basit sebepi devleşmeye sevk eden ara sokakta duruyor?	Peki kim bu küçük ve basit sebepleri devleştirerek aramıza sokup duruyor?
bio_1510	Meşrutiyet ilanından önceki siyasi faaliyetlere katıldı.	Meşrutiyetin ilanından önceki siyasi faaliyetlere katıldı.
bio_289	Öger prodüksiyon.	- Öger Prodüksiyon.
ess_1924	'Yalnız, neden yaşa ıstırap verici bir şey?'	'Yalnız, neden yaşamak ıstırap verici bir şey?
bio_1219	1978 yılında, UNESCO'nun Kurulu Türkiye'yi temsil eden üye oldu.	1978 yılında, Unesco Yürütme Kurulu'na, Türkiye'yi temsil edecek üye olarak seçilmiştim.
ess_563	Yatağan, Milas ve akılcılık...	Yatağan, Milas ve Akılcılık...
pop_1479	"Yeni emekli olan general bir dost, 95 metrekarelik evde, plaketlerle dolu duvarıyla bulaşık gibi bu yerleşim sandıklarını koyacağı yeri olmayan, 'neyap?' diyen sandık da yakındı."	"Yeni emekli olmuş general bir dostum, taşındığı 95 metrekarelik evinde, aldığı plaketleri asacak duvar bulamadığı gibi bunları yerleştirdiği sandıkları koyacak yer olmadığından yakındı, 'Ne yapayım?' dedi."
news_414	Bu işe bir çözüm bulacaksın ve umut ediyorum ki saygı sunacaksın.	Bu işe bir çözüm bulacağınızı ümit ediyor saygılar sunuyorum.
bio_316	1966 yılında, Bafa gölünün kuzeyinde yer alan Kayalık Beşparmak dağında tırmandık.	1966 yılında Bafa gölünün kuzeyinde yer alan Kayalık Beşparmak dağlarına tırmanıyorduk.
ins_1701	Ama ben basketbol takımını almadım.	Ama beni basketbol takımına almadılar.
ins_782	Bu sonra çağdaş olimpiyat adıyla anıldı.	Bundan sonra "çağdaş olimpiyatlar" adıyla anıldı.
pop_187	"Müjde var yurt toprağına taş."	"Müjdeler var yurdumun toprağına taşına,
bio_665	O, arkadaşlarını titizlikle seçer ve kendi için iyice siner.	Onun için yol arkadaşlarımızı titizlikle seçer, kendilerini iyice sınarız.
news_1144	Savcı, petrol tankeri Hintli kaptanın ihmalinde bulunmuş olayı araştır.	Savcı, petrol tankerinin Hintli kaptanının da olayda bir ihmali bulunup bulunmadığını araştırıyor.
ess_921	Kahvaltıya kadar 2 saat çalışıyorum.	Kahvaltıya kadar 2 saat çalışırım.
bio_1097	"Neden sor?" diye soruldu.	"Neden?" diye sordum.
ins_1519	Bu korku, hayatın çeşitli dönemlerindeki değişiklikleri gösterebilir.	Bu korkular, hayatımızın çeşitli dönemlerinde değişiklikler gösterebilir.
pop_1208	Örneğin, bu alanda Mars'ın aşırı sahibi olmacı biri yapabilir, miras konusunda engel çık.	Örneğin, bu alanda Mars, bizi aşırı sahip olmacı biri yaparken, miras konusunda engeller çıkarabilir.
news_1671	Tapınakta panik var.	Tapınakta panik var
ins_93	Kartonlardan arabaları garajda yapıyoruz.	Arabalarımıza kartondan garaj yaparız.
bio_1311	İçki isim ve telefon numara yoluyla başka operasyon yap, ama bu ayrı bir öykü.	İçindeki isimler ve telefon numaralarından yola çıkarak başka operasyonlar yaptık, ama bunlar ayrı bir öykü."
ess_913	İki Türkiye sevdalısı.	İkisi de Türkiye'nin sevdalısı.
bio_1864	Tüm dostlara haber ulaşmadı, ama her şey dostlar tarafından halledildi.	Tüm dostlara haber ulaştıramadım, ama kalan dostlar her şeyi halletti.
pop_731	Her şeyi istediğinizi verseniz bile, zevk almayabilirsiniz.	Her istediklerini verirseniz kıymet bilmezler, üstelik hiçbir şeyden zevk almaz olurlar.
news_56	ABD başkanı George Bush, Irak'taki Amerikan birliklerinin omuzlarındaki yükün sonbaharda hafifleyeceğini söyledi.	ABD Başkanı George Bush, Irak'taki Amerikan birliklerinin omuzlarındaki yükün, sonbaharda müttefiklerin gelişiyle hafifleyeceğini söyledi.
bio_1512	Bu da mı yapıldı?	"Bunu da mı o yapmış?"
