ins_833	1936 yılında değiliz.	1936 yılındayız.
bio_1265	Adeta kendi geçmiş bir hâldeyim.	Adeta kendimden geçmiş bir haldeyim.
ins_1281	O nasıl uğraş ki kendi emanetini söyle Üstad var mıydı?	O nasıl derse desin uğraştığı sanatın kendisine emanet olduğunu söyleyen üstadları vardı.
pop_1958	Ahmed Rasim, Büyükada'ya git birkaç gün kalıp tasarladı.	Ahmed Rasim, Büyükada'ya gidip birkaç gün kalmayı tasarlamıştı.
ins_1267	Rüzgâr yine güçlü esti.	Rüzgâr yine güçlü esiyordu.
news_1025	Öte yan sarı-lacivertli, yarın Samandıra tesisinde Türk Telekom ligi takımı Kocaelispor saat 19.30'da bir hazırlık maçı yap.	Öte yandan Sarı-Lacivertliler, yarın Samandıra Tesisleri'nde Türk Telekom Lig A takımlarından Kocaelispor'la saat 19.30'da bir hazırlık maçı yapacak.
ess_1258	Peki, kim bu küçük ve basit sebeplerden devleş ara sokta dur?	Peki kim bu küçük ve basit sebepleri devleştirerek aramıza sokup duruyor?
bio_1510	Meşrutiyet ilanının önceki siyasi faaliyetlere katıldım.	Meşrutiyetin ilanından önceki siyasi faaliyetlere katıldı.
bio_289	Öger prodüksiyon.	- Öger Prodüksiyon.
ess_1924	'Yalnız, neden yaşa ıstırap verici bir şey?'	'Yalnız, neden yaşamak ıstırap verici bir şey?
bio_1219	1978 yılında, UNESCO'nun Kurulu Türkiye'yi temsil etmek üzere üye olarak seçildi.	1978 yılında, Unesco Yürütme Kurulu'na, Türkiye'yi temsil edecek üye olarak seçilmiştim.
ess_563	Yatağan, Milas ve akılcılık...	Yatağan, Milas ve Akılcılık...
pop_1479	"Yeni emekli olan bir general bir dost, 95 metrekarelik evinde plaketlerle dolu bir duvar gibi bu yerleşim sandıklarını da yerleştirdiği yerde, olmayacağına dair söz vererek yaklaştı, 'Ne yap?' dedi."	"Yeni emekli olmuş general bir dostum, taşındığı 95 metrekarelik evinde, aldığı plaketleri asacak duvar bulamadığı gibi bunları yerleştirdiği sandıkları koyacak yer olmadığından yakındı, 'Ne yapayım?' dedi."
news_414	Bu iş bir çözüm bulacağına umit ediyor saygı sunuyorum.	Bu işe bir çözüm bulacağınızı ümit ediyor saygılar sunuyorum.
bio_316	1966 yılında Bafa gölünün kuzeyindeki yerde Kayalık Beşparmak dağına tırmanmıştık.	1966 yılında Bafa gölünün kuzeyinde yer alan Kayalık Beşparmak dağlarına tırmanıyorduk.
ins_1701	Ama ben basketbol takımını almamıştım.	Ama beni basketbol takımına almadılar.
ins_782	Bu sonra çağdaş Olimpiyat adının anıldığı bir zamandaydık.	Bundan sonra "çağdaş olimpiyatlar" adıyla anıldı.
pop_187	"Müjde var, yurt toprağına taş."	"Müjdeler var yurdumun toprağına taşına,
bio_665	O yol için arkadaşlarımızı iyice seçin.	Onun için yol arkadaşlarımızı titizlikle seçer, kendilerini iyice sınarız.
news_1144	Savcı, petrol tankeri Hintli kaptanın da olay bir ihmal bulunmadığını araştır.	Savcı, petrol tankerinin Hintli kaptanının da olayda bir ihmali bulunup bulunmadığını araştırıyor.
ess_921	Kahvaltıya kadar 2 saat çalışıyorum.	Kahvaltıya kadar 2 saat çalışırım.
bio_1097	"Neden soruyorsun?"	"Neden?" diye sordum.
ins_1519	Bu korku, hayatın çeşitli dönemlerindeki değişiklikleri gösterebilir.	Bu korkular, hayatımızın çeşitli dönemlerinde değişiklikler gösterebilir.
pop_1208	Örneğin, bu alanda Mars'ımız, biz aşırı sahip olduğumuz bir olmacı, mirasımızın konusu ve engellerin çıkabileceği bir yerdeyiz.	Örneğin, bu alanda Mars, bizi aşırı sahip olmacı biri yaparken, miras konusunda engeller çıkarabilir.
news_1671	Tapınakta panik var.	Tapınakta panik var
ins_93	Arabalara kartonlardan garaj yap.	Arabalarımıza kartondan garaj yaparız.
bio_1311	içki'nin adı ve telefon numarasıyla yolu çık başka operasyon yap, ama bu ayrı bir öykü.	İçindeki isimler ve telefon numaralarından yola çıkarak başka operasyonlar yaptık, ama bunlar ayrı bir öykü."
ess_913	İki Türkiye sevdalısı.	İkisi de Türkiye'nin sevdalısı.
bio_1864	Tüm dostlara haber ulaşmadı, ama her şey dostlar tarafından halledildi.	Tüm dostlara haber ulaştıramadım, ama kalan dostlar her şeyi halletti.
pop_731	Her şeyi istediğin zaman ver, üstelik hiçbir şeyden zevk almayabilirsin.	Her istediklerini verirseniz kıymet bilmezler, üstelik hiçbir şeyden zevk almaz olurlar.
news_56	ABD başkanı George Bush, Irak'taki Amerikan birliklerinin omuzlarındaki yük, sonbahar müttefiklerin gelip hafifle söyledi.	ABD Başkanı George Bush, Irak'taki Amerikan birliklerinin omuzlarındaki yükün, sonbaharda müttefiklerin gelişiyle hafifleyeceğini söyledi.
bio_1512	"Bu da mı yapmıştı?"	"Bunu da mı o yapmış?"
pop_931	yarım greyfurt, günlük C vitamin ihtiyacının yüzde altmışını sağlar.	Yarım greyfurt günlük C vitamini ihtiyacının yüzde altmışını sağlar.
pop_1181	1 yemek kaşığı zeytinyağı.	1 yemek kaşığı zeytinyağı
pop_112	Yan tarafında kocaman bir kavanoz.	Yan tarafında da kocaman bir kavanoz.
bio_1603	Hanımefendi asistan yapmış.	O hanımı asistan yaptılar.
news_499	Mini dizüstü 3n doping.	Mini dizüstünde 3N dopingi
ess_932	Ama hayat her şey bizim istediğimiz gibi olmuyor.	Ama hayatta her şey bizim istediğimiz gibi olmuyor.
ins_704	Öyle, ben bir İspanyol oldum kadar dünyalıyım da.	Öyleyse, ben bir İspanyol olduğum kadar dünyalıyım da.
news_388	Bu yaş dilimin en az çalıştığı Slovakya, Belçika ve Fransa.	Bu yaş diliminin en az çalışanları ise Slovakya, Belçika ve Fransa'da.
ess_594	Bu yapıyorum.	Bunu umuyoruz.
news_1344	Bu kararla polis ve savcılık bu yönde şikâyetlerin azalacağına inanıyor.	Bu kararla polise ve savcılıklara bu yönde yapılan şikâyetlerin de azalacağı belirtildi.
bio_1396	Moby Dick'i aldım, sarıya boyattım, incelttim, gaz için ne, benzin için hiçbir şey kabul etmedi.	Moby Dick'e aldığım sarı boya inceltmek için ne gaz, ne benzin, hiçbir şey kabul etmiyordu.
bio_1973	Telsiz sürekli işler, tamamlayıcı haberler gelir, buyruk yerine ulaşır ydı.	Telsiz, sürekli olarak işliyor, tamamlayıcı haberler geliyor, buyruklar yerine ulaşıyordu.
pop_542	1 kutu ançüez.	1 kutu ançüez
bio_965	Dünyaca ünlü obuacı bir süre oturdu, sonra solisti tanıdığını istedi söyledi.	Dünyaca ünlü obuacı oturup bir süre dinledi, sonra solisti tanımak istediğini söyledi.
ins_1552	O, öncelikle çok büyük bir asker ve komutandır.	O, öncelikle çok büyük bir asker ve komutandır.
bio_1690	Çocuklarından biri.	Çocuklardan biri,
bio_1888	Köylülerin çoğu evlerine giremedi çünkü söylemesine göre ısınmayabilirdi.	Köylülerin çoğu evlere girmemişti; çünkü söylediklerine göre ısınamıyorlardı.
bio_1939	Sesleri duy, şirkete yeni giren kaptan, şaşkın ve ürkek bir ifadeyle boxer'ı çekiş tuvaletinden fırlat.	Sesleri duyan, şirkete yeni girmiş kaptan, şaşkın ve ürkek bir ifadeyle boxerını çekiştirerek tuvaletten fırladı.
bio_1867	Alelacele etti ve bin durdu.	Alelacele el edip durdurdum ve bindik.
pop_45	Sarı, beyaz ve pembe renkli cins içinde en çok beyaz sev.	Sarı, beyaz, pembe renkli cinsleri içinde en çok beyazı sevilir.
ins_1403	Dünya uluslararası duruma göre böyle bir mücadele gerekmişti ki, manevi unsurlarıyla sahip olan kişi ve bu nitelikteki kişiler oluşlarını toplum hayatı ve bağımsızlık için sürdürüyorlar.	Dünyada uluslararası duruma göre böyle bir mücadelenin gerektirdiği manevi unsurlara sahip olmayan kişiler ve bu nitelikte kişilerden oluşan toplumlara hayat ve bağımsızlık yoktur.
bio_634	"Ancak pet therapist'leri sizden geçemeyiz."	Ancak "pet therapist"i size tanıtmadan geçemeyeceğim.
pop_933	Kadıköy, İstanbul'daki Musevi genç, Bobi takma adıyla bilinen futbolcu Fuat Hüsnü, büyük Hasan ve Dalaklı Hüseyin gibi isimler de forma giydi.	Kadıköy'de İstanbul'un Musevi gençleri, Bobi takma adıyla sahaya çıkan ilk Türk futbolcusu Fuat Hüsnü, Büyük Hasan ve Dalaklı Hüseyin gibi isimler de forma giydiler.
news_711	İsrailli yetkililer daha önce yapmış oldukları açıklamada, İsrail'in tarafından bazı füzelerin Suriye tarafına tahsis edildiği ileri sürülmüştü. İsrail Başbakanı Ehud Olmert, Hizbullah'ı destekleyen İran'ı da suçlayarak, son er bekleyen sorun daha büyük bir coğrafya yay kaygısı uyandırabilir.	İsrailli yetkililerin daha önce yaptıkları açıklamalarda, sınırın İsrail tarafına gönderilen bazı füzelerin Suriye tarafından tahsis edildiği ileri sürülürken, İsrail Başbakanı Ehud Olmert'in, "Hizbullah'ı destekliyor" diyerek İran'ı da suçlaması, sona erdirilmesi beklenen sorunun daha büyük bir coğrafyaya yayılabileceği kaygısını uyandırıyor.
