Sentence ID,Text,,Annotations link
ins_1938,"Yıl arifesinde, tüketiciler arasında ilk akla gelen markanın Çiko olmaması, daha yeni şekerlerin tercih edildiğini gösterir",,
ins_414,Gülüp düşündür.,,
pop_1612,Soğanı yemeğe doğrayın,,
ins_1037,Hem bir şeyler satmaya hem bir şeyler alıp gelmeye.,,
ins_887,Unut lütfen bunu!,,
news_1727,"Kurul başkanı İsmail Alptekin, 14 Mayıs ""ilk adım"" toplantısında ""Emaneti bir başka abiye teslim ediyor.""  deyip genel başkanlığı Recai Kutan'a devretti.",,
news_291,"""Kıbrıs çözülürse Türkiye'ye tarih verilmesine kimse itiraz etmeyecek "" görüşünü dile getiren Papandreu, ""Türkiye için çarpışıyoruz , ama Almanya'nın ne yapacağı önemli"" dedi.",,
ins_274,- Aynı olay Amerika'da da olmuştu.,,
ess_1514,"Kimsenin saçı dökülmezse, o ürünü kullanmaya ne hacet!",,
news_631,"Sürenin uzunluğu, önce toplantının tartışmayla geçtiği izlenimini doğurdu.",,
bio_390,Yarın işi çok.,,
bio_433,"Berlin'de, her gün biraz daha fazla ısınmaya başlayan bu ülkeyi daha iyi tanıyabilme amacıyla Türkler ve Almanlar arasında geleneksel bağları konu alan belgeleri araştırdım.  ",,
news_81,Ancak bunu Türkiye'nin üyesi engelleyecek bir unsur olarak görmüyor.,,
ess_329,"Birkaç yıldır, Kürt, Kıbrıs, Ermeni ve diğer azınlık sorunlarının, AB'ye girmenin, İslam kökenli bir partinin iktidara gelmesinin etkisiyle ve buna tepki olarak, milliyetçilik yükselmeye başlamıştı. ",,
pop_1193,"Bir de, sadece buraya özel dediği bir içki ikram etti.",,
news_1406,Dönerken de soruyor.,,
bio_1401,"Ama on üç on dört yaşına geldiğimde, gene evdeki konuşmalardan, biliyordum bunun olduğunu",,
pop_1579,"Sonra, kendinizi anlatın birbirlerinize",,
ess_1924,"Yalnız, neden yaşamak ıstırap verici bir şey ?",,
bio_889,Sirenleri açmışlar ve anons etmeye devam etmişler.,,
ins_791,- Şimdi de bol şeker şerbet.,,
pop_802,Ne yapacağı önceden pek kestirilmez.,,
bio_1386,Mücadelesi süre coşkusu bu korkusuna eşlik etti.,,
news_1115,Mahkemede büyük bir olasılıkla yürütmeyi durdurma kararı alacak.,,
bio_1666,"Oysa 1961'in sonbaharında, yani 1961 Ekimi'nde Orta Doğru Teknik Üniversitesi bütün bu gereçten yoksun bulunmaktaydı. ",,
pop_1033,"Çevresindeki yarım duvarda, 9 Ağustos sabahını anlatan plaketler var.",,
ess_75,"O hal, insanın her bekleyişini ve her mühlet verişini, sabır olarak değerlendirmenin mümkün olmadığı anlaşılıyor. ",,
bio_265,"Ahmet Hamdi Tanpınar, Beş Şehir adlı başyapıtında Konya'yı dile getirip, 699 yılının o müthiş gününden de söz açar.",,
news_697,Muhalefet partisi lideri bu savcının yaptığını  'sivil darbe' olarak niteledi.  ,,
news_1273,Canının istediği  şarkıyı söylüyor.,,
pop_795,Aşağı yukarı böyle bir şey; detayları atlamış olabilirim zira çok uzun yıllardır bu faaliyette bulunmmuyorum.,,
news_1295,Dünyanın hiçbir yerinde kayıt dışı 0 değil.,,
ess_624,Ben yani nerdeyse bir Christian Scientist üyesi kadar düşkün addedilirim doktorlara.,,
pop_847,"Puşkin'in satırlarına yansıyan Erzurum, 150 yıl sonra da aynı karakteristik özelliklerini koruyordu.",,
ess_825,Ölümle şakalaşabildiği zaman parçası.,,
ins_808,1. yakın çevresinde hangi sağlık kurumları var ?,,
bio_562,Müzikte ne olup bitiyor ? Almanya'yı bilince kolay...,,
news_1690,"Bulak, Avrupa şampiyonu gibi teknik ve fiziksel özellikleri birleştirmek istediğini söyledi. ",,
bio_307,Ben ortaokula başlamadan bir yıl önce okulun müdürü bir öğrenci tarafından tabancayla vurulup öldürüldü.,,
ess_1832,"Önü bile özel dikilmiş, çünkü onun boyuna göre ön yok.",,
ins_1239,Ağaçların arasında şırıl şırıl akan güzel bir dere varmış. ,,
ins_636,"Anadolu Selçuklu devrinden Osmanlı'nın son yıllarına kadar bir esnaf ve sanatkar örgütü olduğu bilinen ahinin her köyde, her kasabada ve şehirde, ocakları, oda ve tekkeleri vardı.",,
bio_1990,Bizim Şefik dert dağıtım merkezi sanki.,,
pop_1585,* açıklanmayan vajinal kanama durumunda.,,
pop_1447,"( olmayacak ama, böyle de olmaz abi ) . ",,
pop_62,İstanbul aslında deprem kuşağının tam göbeğindeymiş.,,
pop_63,"Ankara, Mustabey, Çengel, kumla, bey olmak üzere birçok çeşidi vardır.",,
ins_920,Ben de bu erdemin yüksek bir derecesine sahibim.,,
pop_929,Grönland ve Antarktika'nın erimesi sonucu sular altında kalan İstanbul'dan kurtulanların barındığı Bolu Dağı'nda lüfer akınından çok mutlu oldular.,,
news_1043,Kapatma kararı alınmaması sonrası AKP'lilerin sevinçleri TBMM genel kurul salonuna da yansımıştı. ,,
ins_1892,Bu o zamana göre ( Hitler'in sınıra dayandığı 1940'lı savaş yılları ) büyük lüks. ,,
bio_1657,"Osman Paşa diyor ki ""Ben planı yapar, hedefi gösterir tabur komutanına veririm o inisiyatifiyle istediği yere yürür""",,
ess_539,"Çocuğu, oturacak bir okul sırasına sahip olamayabilir.",,
