sent_id,original,Tarık_v2.8,Tarık_v2.11,Akif_v2.8,Akif_v2.11,llm_v2.8,llm_v2.11,accuracy_Tarık_v2.8,accuracy_Tarık_v2.11,accuracy_Akif_v2.8,accuracy_Akif_v2.11,accuracy_llm_v2.8,accuracy_llm_v2.11
news_1273,Canımın istediği şarkıları söylüyorum.,Canımın istediği şarkıları söylüyor.,Canımın istediği şarkıyı söylüyorum.,Canının istediği  şarkıyı söylüyor.,Canımın istediği şarkıları söylüyorum.,Canımın istediği şarkıları söylüyorum.,Canımın istediği şarkıları söylüyorum.,80.00,80.00,40.00,100.00,100.00,100.00
ins_887,Unutma lütfen bunları!,Unut lütfen bunları!,Unut lütfen bunları!,Unut lütfen bunu!,Unut lütfen bunları !,Unutulmasın bu lütfen!,Unutmayın lütfen bunu!,75.00,75.00,50.00,75.00,50.00,50.00
pop_1447,"(Olmuyor ama, böyle de olmuyor aabi).","(olmuyor ama, böyle de olmuyor AABİ).","(Olmasın ama, böyle de olmasın abi).","( olmayacak ama, böyle de olmaz abi ) . ","(olmuyor ama, böyle de olmuyor abi)",(Olmuyor ama böyle de olmuyor AABİ).,(Olmasa ama böyle de olmaz abi).,80.00,70.00,70.00,70.00,80.00,60.00
bio_433,"Berlin'de, her gün biraz daha fazla ısınmaya başladığım bu ülkeyi daha iyi tanıyabilmek amacıyla Türkler ve Almanlar arasındaki geleneksel bağları konu alan belgeleri araştırdım.","Berlin'de, her gün biraz daha fazla ısınmaya başladığımız bu ülkeyi daha iyi tanıyabilmek amacıyla Türkler ve Almanlar arasındaki geleneksel bağları konu alan belgeleri araştırdım.","Berlin'de, her gün biraz daha fazla ısınmaya başlamış bu ülkeyi daha iyi tanıyabilme amacıyla Türkler ve Almanlar arasındaki geleneksel bağları konu alan belgeleri araştırmıştım.","Berlin'de, her gün biraz daha fazla ısınmaya başlayan bu ülkeyi daha iyi tanıyabilme amacıyla Türkler ve Almanlar arasında geleneksel bağları konu alan belgeleri araştırdım.  ","Berlin'de, her gün biraz daha fazla ısınmaya başladığım bu ülkeyi daha iyi tanıyabilmek amacıyla Türkler ve Almanlar arasındaki geleneksel bağları konu alan belgelerini araştırırdı.  ","Berlin'de, her gün biraz daha fazla ısındığımda bu ülkeyi daha iyi tanıma amacıyla Türk ve Alman arasındaki geleneksel bağları konu alan belgeleri araştırdım.","Berlin’de, her gün biraz daha fazla ısınmaya başladığım bu ülkeyi daha iyi tanımak amacıyla Türk ve Alman arasındaki geleneksel bağları konu alan belgeleri araştırdım.",96.15,88.46,88.46,92.31,80.77,84.62
ins_791,- Şimdi de bol şekerli şerbet.,- Şimdi de bol şeker Şerbet.,- Şimdi de bol şekerli şerbet.,- Şimdi de bol şeker şerbet.,- Şimdi de bol şekerli Şerbet.,- Şimdi de bol şekerli şerbet.,- Şimdi de bol şekerli şerbet.,71.43,100.00,85.71,85.71,100.00,100.00
pop_929,Grönland ve Antartika'nın erimesi sonucu sular altında kalan İstanbul'dan kurtulanların barındığı Bolu dağlarındaki balıkçılar lüfer akınından çok mutlu oldular.,Grönland ve Antartika'nın erimesi sonucu sular altında kalan İstanbul'dan kurtulanların barındığı Bolu dağlarında balıkçılar lüfer akınından çok mutlu oldular.,Grönland ve Antartika'nın erimesi sonucu su altında kalan İstanbul'dan kurtulanların barındığı Bolu dağlarındaki Balıkçılar lüfer akınından çok mutlu oldular.,Grönland ve Antarktika'nın erimesi sonucu sular altında kalan İstanbul'dan kurtulanların barındığı Bolu Dağı'nda lüfer akınından çok mutlu oldular.,Grönland ve Antartika'nın erimesi sonucu sular altında kalan İstanbul'dan kurtulanların barındığı Bolu dağlarındaki balıkçılar lüfer akınından çok mutlu oldular.,Grönland ve Antartika'nın eriyen sonuçları İstanbul'dan kurtulan suların altında kalan İstanbul'un Bolu dağlarında barınan Balıkların lüferlerden akınından çok mutlu oldular.,Grönland ve Antarkika'nın eriyen sonuçları İstanbul'dan kurtulan su altında kalan Bolu dağlarındaki balıkçılar lüferin akınından çok mutlu oldular.,95.00,90.00,85.00,100.00,55.00,50.00
news_1727,"Kurucu Başkan İsmail Alptekin, 14 Mayıs ""ilk adım"" toplantısında ""Emaneti bir başka abiye teslim ediyorum."" diyerek genel başkanlığı Recai Kutan'a devretti.","Kurum başkanı İsmail Alptekin, 14 Mayıs ""İlk Adım"" toplantısında ""Emaneti bir başka abiye teslim ediyorum."" diyerek genel başkanlığı Recai Kutan'a devretti.","Kurum başkanı İsmail Alptekin, 14 Mayıs ""İlk Adım"" toplantısında ""Emaneti bir başka abiye teslim ediyorum."" diyerek genel başkanlığı Recai Kutan'a devretti.","Kurul başkanı İsmail Alptekin, 14 Mayıs ""ilk adım"" toplantısında ""Emaneti bir başka abiye teslim ediyor.""  deyip genel başkanlığı Recai Kutan'a devretti.","Kurul başkanı İsmail Alptekin, 14 Mayıs ""ilk adım"" toplantısında ""Emaneti bir başka abiye teslim ediyorum."" deyip genel başkanlığı Recai Kutan'a devretti.","Kur başkanı İsmail Alptekin, 14 Mayıs'ta ""ilk adım"" toplantısında ""emanet"" bir başka abiye teslim etti de genel başkanlık Recai Kutan'a devretti.","Kur başkanı İsmail Alptekin, 14 Mayıs'ta ""ilk adım"" toplantısında, emanet bir başka abiye teslim etmekte de genel başkanlık Recai Kutan'a devretti.",85.71,85.71,85.71,89.29,53.57,28.57
pop_1033,"Çevremizdeki yarım duvarlarda, 9 ağustos sabahını anlatan plaketler var.","Çevremizde yarım duvarlarda, 9 Ağustos sabahını anlatan plaketler var.","Çevremizdeki yarım duvarlarda, 9 Ağustos sabahını anlatan plaketler var.","Çevresindeki yarım duvarda, 9 Ağustos sabahını anlatan plaketler var.","Çevremizdeki yarım duvarlarda, 9 Ağustos sabahını anlatan plaketler var.","Çevremizdeki yarım duvarlarda, 9 Ağustos sabahını anlatan plaketler var.","Çevremizdeki yarım duvarlarda, 9 Ağustos sabahı anlatılan plaketler var.",81.82,90.91,72.73,90.91,90.91,72.73
ins_1037,Hem bir şeyler satmaya hem bir şeyler alıp gelmeye.,Hem bir şeyler satmaya hem bir şeyler almaya gelmiş.,Hem bir şeyler satmaya hem bir şeyler almaya geldi.,Hem bir şeyler satmaya hem bir şeyler alıp gelmeye.,"Hem bir şeyleri satmaya, hem bir şeyleri almaya gelmeye.",Hem bir şeyler sattı hem de bir şeyler aldı.,Hem bir şeyi satıp hem bir şeyi alıp geldi.,80.00,80.00,100.00,70.00,70.00,60.00
ins_1239,Ağaçların arasında şırıl şırıl akan güzel bir dere varmış.,Ağaçların arasında şırıl şırıl akan güzel bir dere varmış.,Ağaçların arasında şırıl şırıl akan güzel bir dere varmış.,Ağaçların arasında şırıl şırıl akan güzel bir dere varmış. ,Ağaçların arasında şırıl şırıl akan güzel bir dere varmış. ,Ağaçların arasında şırıl şırıl akan güzel bir dere vardı.,Ağaçların arasında şırıl şırıl akan güzel bir dere vardı.,100.00,100.00,100.00,100.00,90.00,90.00
bio_1401,"Ama on üç on dört yaşma geldiğimde, gene evdeki konuşmalardan, biliyordum bunların olduğunu.","Ama on üç on dört yaşlarına geldiğimde, gene evde konuşulanlardan, biliyordum bunların olduğunu.","Ama on üç on dört yaşlarıma geldiğimde, gene evdeki konuşmalardan, biliyordum bunların olduğunu.","Ama on üç on dört yaşına geldiğimde, gene evdeki konuşmalardan, biliyordum bunun olduğunu","Ama on üç on dört yaşıma geldiğinde, gene evdeki konuşmalardan, biliyordum bunların olduğunu.","Ama on üç on dört yaşına gelmişken, genel evlerden konuşan bu olayı biliyordum.","Ama on üç, on dört yaşına gelmişken, gene evdeki konuşmalardan, biliyordum bu olayı.",81.25,93.75,81.25,87.50,43.75,75.00
pop_1612,Soğanı yemeklik doğrayın.,Soğanları yemeklik doğrayın.,Soğanı yemeklik doğrayın.,Soğanı yemeğe doğrayın,Soğanı yemeklik doğra. ,Soğanı yemek için doğrayın.,Soğanı yemeklik doğrayın.,75.00,100.00,50.00,75.00,75.00,100.00
pop_1579,"Sonra, kendinizi anlatın birbirinize.","Sonra, kendinizi anlatın birbirlerinize.","Sonra, kendilerinizi anlatın birbirlerinize.","Sonra, kendinizi anlatın birbirlerinize","Sonra, kendilerini anlatsınlar birbirlerine  ","Sonra, kendi anlatın birbirinize.","Sonra, kendi hikayelerinizi birbirinize anlatın.",83.33,66.67,66.67,33.33,83.33,83.33
