sent_id,original,Tarık_v2.8,Tarık_v2.11,Akif_v2.8,Akif_v2.11,llm_v2.8,llm_v2.11
news_1115,Mahkemede büyük bir olasılıkla yürütmeyi durdurma kararı alacak.,Mahkemede büyük bir olasılıkla yürütmeyi durdurma kararı alınacak.,Mahkemede büyük bir olasılıkla yürütmeyi durdurma kararı alınacak.,Mahkemede büyük bir olasılıkla yürütmeyi durdurma kararı alacak.,Mahkemede büyük bir olasılıkla yürütmeyi durdurma kararı alacak. ,Mahkemede büyük bir olasılıkla yürütülen duruşmaya karar alacak.,Mahkemede büyük bir olasılıkla yürütmeyi durdurma kararı alacak.
bio_1990,Bizim Şefik dert dağıtım merkezi sanki.,Bizim Şefik dert dağıtım merkezi sanki.,Bizim Şefik dert dağıtım merkezi sanki.,Bizim Şefik dert dağıtım merkezi sanki.,Bizlerin Şefik dert dağıtım merkezi sanki.,Bizim Şefik'in dert dağıtım merkeziymiş.,Bizim Şefik dert dağıtım merkezi sanki.
news_1690,"Bulak, Avrupa Şampiyonu gibi teknik ve fizik özellikleri birleştirmek istediklerini söyledi.","Bulak, Avrupa şampiyonu gibi teknik ve fiziki özelliklerini birleştirmek istediğini söyledi.","Bulak, Avrupa şampiyonu gibi teknik ve fiziki özelliklerini birleştirmek istediğini söyledi.","Bulak, Avrupa şampiyonu gibi teknik ve fiziksel özellikleri birleştirmek istediğini söyledi. ","Bulak, Avrupa şampiyonu gibi teknik ve fizik özellikleri birleştirmek istediklerini söyledi. ","Bulak, Avrupa şampiyonu gibi teknik ve fizik özellikleri birleştiren istemiş söyledi.","Bulak, Avrupa şampiyonu gibi teknik ve fizik özellikleri birleştiren istemiş söyledi."
bio_390,Yarın işim çok.,Yarın işimiz çok.,Yarın işim çok.,Yarın işi çok.,Yarın işim çok.,Yarın işim çok.,Yarın işim çok.
pop_1033,"Çevremizdeki yarım duvarlarda, 9 ağustos sabahını anlatan plaketler var.","Çevremizde yarım duvarlarda, 9 Ağustos sabahını anlatan plaketler var.","Çevremizdeki yarım duvarlarda, 9 Ağustos sabahını anlatan plaketler var.","Çevresindeki yarım duvarda, 9 Ağustos sabahını anlatan plaketler var.","Çevremizdeki yarım duvarlarda, 9 Ağustos sabahını anlatan plaketler var.","Çevremizdeki yarım duvarlarda, 9 Ağustos sabahını anlatan plaketler var.","Çevremizdeki yarım duvarlarda, 9 Ağustos sabahı anlatılan plaketler var."
pop_1447,"(Olmuyor ama, böyle de olmuyor aabi).","(olmuyor ama, böyle de olmuyor AABİ).","(Olmasın ama, böyle de olmasın abi).","( olmayacak ama, böyle de olmaz abi ) . ","(olmuyor ama, böyle de olmuyor abi)",(Olmuyor ama böyle de olmuyor AABİ).,(Olmasa ama böyle de olmaz abi).
ess_1514,"Kimsenin saçı dökülmezse, o ürünü kullanmaya ne hacet!",Kimsenin saçı dökülmezse o ürünü kullanmaya ne hacet!,"Kimsenin saçı dökülmezse, o ürünü kullanmaya ne hacet!","Kimsenin saçı dökülmezse, o ürünü kullanmaya ne hacet!","Kimsenin saçı, dökülmezse,  o ürünü kullanmaya ne hacet! ",Kimse saçı dökülmeyen o ürünü kullanan ne hacet!,"Kimse saçı dökülmezse, o ürünü kullanmane hacet ne!"
bio_889,Sirenlerini açtılar ve anons etmeye devam ettiler.,Sirenlerini açtılar ve anons etmeye devam ettiler.,Sirenlerini açtılar ve anons etmeye devam ettiler.,Sirenleri açmışlar ve anons etmeye devam etmişler.,Sirenleri açtılar ve anons etmeye devam ettiler.,Sirenleri açtılar ve anonsu devam ettirdiler.,Sirenleri açtılar ve anonsa devam ettiler.
pop_63,"Ankara, Mustabey, Çengel, Kumla, Bey olmak üzere birçok çeşidi vardır.","Ankara, Mustafabey, Çengelköy, Kumköy, Beyoğlu olmak üzere birçok çeşidi vardır.","Ankara, Mustafabey, Çengelköy, Kumköy, Beylerbeyi olmak üzere birçok çeşidi vardır.","Ankara, Mustabey, Çengel, kumla, bey olmak üzere birçok çeşidi vardır.","Ankara, Mustabey, çengel, kum, bey olmak üzere birçok çeşidi vardır. ","Ankara, Mustabey, Çengel, kum ve bey olmak üzere birçok çeşidi var.","Ankara, Mustabey, Çengel, Kum bey olup üzere birçok çeşidi var."
bio_307,Ben ortaokula başlamadan bir yıl önce okulun müdürü bir öğrenci tarafından tabancayla vurularak öldürülmüştü.,Ben ortaokula başladığımdan bir yıl önce okulun müdürü bir öğrenci tarafından tabancayla vurularak öldürülmüş.,Ben ortaokula başlamadan bir yıl önce okulun müdürü bir öğrenci tarafından tabancayla vurularak öldürülmüştü.,Ben ortaokula başlamadan bir yıl önce okulun müdürü bir öğrenci tarafından tabancayla vurulup öldürüldü.,Ben ortaokula başlamadan bir yıl önce okulun müdürü bir öğrenci tarafından tabancayla vurulup ölmüştü.,Ben ortaokula başlamadan bir yıl önce okul müdürü bir öğrenci tarafından tabancayla vurularak öldü.,Ben ortaokula başlamadan bir yıl önce okul müdürü bir öğrenci tarafından tabancayla vurularak öldü.
