Token ID,Surface Form,Surface Form 2,Surface Form 3,Surface Form 4,Annotations link
1,anlatmayı,anlatışı,,,
2,demesiyle,deyişiyle,,,
3,bulunmuyorum,,,,
4,bulunmakta,bulunmada,bulunuşta,,
5,dinlenmek,dinlenme,dinleniş,,
6,anlaşılıyor,,,,
7,birleştirmek,birleştiriş,birleştirme,,
8,alınmaması,,,,
9,ısınmakta,ısınmada,ısınışta,,
10,olarak,olup,,,
11,yapacağı,,,,
12,oynamak,oynama,oynayış,,
13,duymaktan,,,,
14,durdurmak,durdurma,durduruş,,
15,vurulup,vurularak,vurulunca,vurulurken,
16,yapacağımız,,,,
17,olmak,olma,oluş,,
18,atlamış,,,,
19,denilecek,,,,
20,taşıyarak,taşıyıp ,taşıyınca,,
21,yürütmeyi,yürütüşü,,,
22,gülerken,,,,
23,etmeye,edişe,,,
24,gitmiyor,,,,
25,bilmek,bilme,biliş,,
