Token ID,Surface Form,Surface Form 2,Surface Form 3,Surface Form 4,Annotations link
1,bırakmaz,,,,
2,tanıyabilmek,tanıyabilme,,,
3,olarak,olan,,,
4,yapacağı,,,,
5,olarak,olan,,,
6,verilmesine,,,,
7,yaşamaya,,,,
8,gelmeye,,,,
9,uyandırnayı,,,,
10,yaşamak,yaşama,,,
11,olmuyor,,,,
12,yiyip,yiyerek,yiyince,yese,
13,kullanmaya,,,,
14,olmuyor,,,,
15,soruyorsunuz,,,,
16,gelmesinin,,,,
17,çözülürse,,,,
18,kalmayı,,,,
19,şeker,,,,
20,yükselmeye,,,,
21,satmaya,,,,
22,konuşmalardan,,,,
23,döner,,,,
24,sürdürebilmek,sürdürebilme,,,
25,kaybeden,,,,
