Token ID,Surface Form,Surface Form 2,Surface Form 3,Surface Form 4,,Annotations link
1,bırakmaz,,,,,
2,tanıyabilmek,tanıyabilme,,,,
3,olarak,,,,,
4,yapacağı,,,,,
5,olarak,olup,,,,
6,verilmesine,verilişine,,,,
7,yaşamaya,,,,,
8,gelmeye,,,,,
9,uyandırmayı,uyandırışı,,,,
10,yaşamak,,,,,
11,olmuyor,,,,,
12,yiyip,yiyince,yedikçe,yiyerek,,
13,kullanmaya,,,,,
14,olmuyor,,,,,
15,soruyorsunuz,,,,,
16,gelmesinin,gelişinin,,,,
17,çözer,,,,VerbForm = Part ve advcl uyumlu gözükmüyor,
18,kalmayı,,,,,
19,şekerli,,,,,
20,yükselmeye,yükselişe,,,,
21,satmaya,satışa,,,,
22,konuşmalardan,,,,,
23,döner,,,,VerbForm = Part ve advcl uyumlu gözükmüyor,
24,sürdürebilmek,sürdürebilme,,,,
25,kaybeden,,,,,
