Sentence ID,Text,,Annotations link
news_81,Ancak bunu Türkiye'nin üyeliğini engelleyecek bir unsur olarak görmüyorum.,,
bio_1386,Mücadelem süresince coşkum bu korkuma eşlik etti.,,
pop_929,Grönland ve Antartika'nın erimesi sonucu su altında kalan İstanbul'dan kurtulanların barındığı Bolu dağlarındaki Balıkçılar lüfer akınından çok mutlu oldular.,,
ins_274,- Aynı olay Amerika'da da olmuş.,,
ess_329,"Birkaç yıldır, Kürt, Kıbrıs, Ermeni ve diğer azınlık sorunlarının, AB'ye girmenin, İslamcı kökenli bir partinin iktidara gelmesinin etkisiyle ve bunlara tepki olarak, milliyetçilik yükselmeye başladı.",,
pop_802,Ne yapacakları önceden pek kestirilemez.,,
ins_791,- Şimdi de bol şekerli şerbet.,,
ess_624,"Ben yani nerdeyse bir Christian Scientist üyesi kadar ""düşkün"" addedilebilirim doktorlara.",,
ess_539,"Çocuklarınız, oturulacak bir okul sırasına sahip olamayabilir...",,
pop_1579,"Sonra, kendilerinizi anlatın birbirlerinize.",,
bio_307,Ben ortaokula başlamadan bir yıl önce okulun müdürü bir öğrenci tarafından tabancayla vurularak öldürülmüştü.,,
bio_265,"Ahmet Hamdi Tanpınar, beş şehir adlı başyapıtında Konya'yı dile getirirken, 699 yılının o müthiş günlerinden de söz açar.",,
news_1690,"Bulak, Avrupa şampiyonu gibi teknik ve fiziki özelliklerini birleştirmek istediğini söyledi.",,
bio_1990,Bizim Şefik dert dağıtım merkezi sanki.,,
pop_1612,Soğanı yemeklik doğrayın.,,
ins_636,"Anadolu Selçukluları devrinden Osmanlıların son yıllarına kadar bir esnaf ve sanatkâr örgütü olarak bilinen Ahilerin her köy, her kasabada ve şehirde, ocakları, odaları ve tekkeleri vardı.",,
ins_414,Güldürürken düşündürür.,,
news_1273,Canımın istediği şarkıyı söylüyorum.,,
pop_1585,*Açıklanamayan vajinal kanama durumunda.,,
bio_1401,"Ama on üç on dört yaşlarıma geldiğimde, gene evdeki konuşmalardan, biliyordum bunların olduğunu.",,
news_1727,"Kurum başkanı İsmail Alptekin, 14 Mayıs ""İlk Adım"" toplantısında ""Emaneti bir başka abiye teslim ediyorum."" diyerek genel başkanlığı Recai Kutan'a devretti.",,
bio_889,Sirenlerini açtılar ve anons etmeye devam ettiler.,,
ess_75,"O hâlde, insanın her beklediğini ve her mühlet verdiğini sabır olarak değerlendirmenin mümkün olduğu anlaşılır.",,
ins_1037,Hem bir şeyler satmaya hem bir şeyler almaya geldi.,,
ess_825,Ölümle şakalaşabildiğim zaman parçası.,,
ins_1892,Bunlar o zamana göre (Hitler'in sınıra dayandığı 1940'lı savaş yılları) büyük lükstü.,,
ess_1924,"Yalnız, neden yaşamak ıstırap verici bir şey?",,
bio_1666,"Oysa 1961 sonbaharında, yani 1961 ekiminde Orta Doğu Teknik Üniversitesi bütün bu gereçlerden yoksun bulunmaktaydı.",,
news_1295,"Dünya'nın hiçbir yerde kayıt dışı 0 değil.""",,
news_291,"""Kıbrıs çözerse Türkiye'ye tarih verilmesine kimse itiraz etmeyecek"" görüşünü dile getiren Papendreu, ""Türkiye için çarpışırız, ama Almanya'nın ne yapacağı önemli"" dedi.",,
pop_795,Aşağı yukarı böyle bir şey; detayları atlamış olabilirim zira çok uzun yıllardır bu faaliyette bulunmuyorum.,,
ins_1938,"Yıl arifesinde, tüketiciler arasında ilk akla gelen markanın Çiko olmaması, daha yeni şekerlerin tercih edildiğini gösterir.",,
bio_390,Yarın işim çok.,,
ins_887,Unut lütfen bunları!,,
ins_920,Ben de bu erdemin yüksek bir derecesine sahibim.,,
ess_1832,"Önlüğü bile özel dikilmiş, çünkü onun boyuna göre önlük yok.",,
bio_1657,"Osman Paşa der ki ""Ben plan yaparım, hedefleri gösteririm tabur komutanına veririm o inisiyatifiyle istediği yere yürür""",,
pop_1033,"Çevremizdeki yarım duvarlarda, 9 Ağustos sabahını anlatan plaketler var.",,
news_697,Muhalefet partisi lideri bu savcının yaptığını 'sivil darbe' olarak nitelendirdi.,,
ins_808,1. yakın çevremizde hangi sağlık kurumları var?,,
pop_62,"""İstanbul aslında deprem kuşağının tam göbeğindeymiş.",,
ess_1514,"Kimsenin saçı dökülmezse, o ürünü kullanmaya ne hacet!",,
bio_562,Müzikte neler olup biter? Almanya'yı bilmek kolay...,,
news_1406,Dönerse de sor...,,
ins_1239,Ağaçların arasında şırıl şırıl akan güzel bir dere varmış.,,
pop_1193,"Bir de, sadece buraya özel dedikleri bir içki ikram ettiler.",,
bio_433,"Berlin'de, her gün biraz daha fazla ısınmaya başlamış bu ülkeyi daha iyi tanıyabilme amacıyla Türkler ve Almanlar arasındaki geleneksel bağları konu alan belgeleri araştırmıştım.",,
news_631,"Sürenin uzunluğu, önce toplantının tartışmalı geçtiği izlenimini doğurmuştu.",,
pop_847,"Puşkin'in satırlarına yansıyan Erzurum, 150 yıl sonra da aynı karakteristik özelliklerini koruyordu.",,
pop_63,"Ankara, Mustafabey, Çengelköy, Kumköy, Beylerbeyi olmak üzere birçok çeşidi vardır.",,
news_1043,Kapatma kararı alınmaması sonrası AKP'lilerin sevinçleri TBMM Genel Kurul salonuna da yansıdı.,,
pop_1447,"(Olmasın ama, böyle de olmasın abi).",,
news_1115,Mahkemede büyük bir olasılıkla yürütmeyi durdurma kararı alınacak.,,
