Sentence ID,Text,,Annotations link
news_1273,Canımın istediği şarkıları söylüyor.,,
ins_887,Unut lütfen bunları!,,
pop_1447,"(olmuyor ama, böyle de olmuyor AABİ).",,
bio_433,"Berlin'de, her gün biraz daha fazla ısınmaya başladığımız bu ülkeyi daha iyi tanıyabilmek amacıyla Türkler ve Almanlar arasındaki geleneksel bağları konu alan belgeleri araştırdım.",,
ins_791,- Şimdi de bol şeker Şerbet.,,
pop_929,Grönland ve Antartika'nın erimesi sonucu sular altında kalan İstanbul'dan kurtulanların barındığı Bolu dağlarında balıkçılar lüfer akınından çok mutlu oldular.,,
news_1727,"Kurum başkanı İsmail Alptekin, 14 Mayıs ""İlk Adım"" toplantısında ""Emaneti bir başka abiye teslim ediyorum."" diyerek genel başkanlığı Recai Kutan'a devretti.",,
pop_1033,"Çevremizde yarım duvarlarda, 9 Ağustos sabahını anlatan plaketler var.",,
ins_1037,Hem bir şeyler satmaya hem bir şeyler almaya gelmiş.,,
ins_1239,Ağaçların arasında şırıl şırıl akan güzel bir dere varmış.,,
bio_1401,"Ama on üç on dört yaşlarına geldiğimde, gene evde konuşulanlardan, biliyordum bunların olduğunu.",,
pop_1612,Soğanları yemeklik doğrayın.,,
pop_1579,"Sonra, kendinizi anlatın birbirlerinize.",,
ess_624,"Ben yani neredeyse bir Christian Scientist üyesi kadar ""düşkün"" addedilebilirim doktorlara.",,
bio_390,Yarın işimiz çok.,,
bio_1657,"Osman Paşa diyor ki ""Ben planı yaparım, hedefleri gösterir tabur komutanına veririm o inisiyatifiyle istediği yere yürür""",,
pop_795,Aşağı yukarı böyle bir şey; detaylarını atlamış olabilirim zira çok uzun yıllar bu faaliyette bulunmuyorum.,,
pop_847,"Puşkin'in satırlarına yansıyan Erzurum, 150 yıl sonra da aynı karakteristik özelliklerini koruyordu.",,
pop_1193,"Bir de, sadece buraya özel dedikleri bir içiki ikram ettiler.",,
pop_802,Ne yapacakları önceden pek kestirilmez.,,
news_1295,"Dünyanın hiçbir yerinde kayıt dışı 0 değil.""",,
bio_889,Sirenlerini açtılar ve anons etmeye devam ettiler.,,
ins_414,Güldürürken düşündürür.,,
news_1115,Mahkemede büyük bir olasılıkla yürütmeyi durdurma kararı alınacak.,,
pop_1585,* Açıklanamayan vajinal kanama durumunda.,,
bio_265,"Ahmet Hamdi Tanpınar, beş şehir adlı başyapıtında Konya'yı dile getirirken, 699 yılının o müthiş günlerinden de söz açar.",,
pop_63,"Ankara, Mustafabey, Çengelköy, Kumköy, Beyoğlu olmak üzere birçok çeşidi vardır.",,
ess_75,"O hâlde, insanın her beklediği ve her mühlet verdiğini sabır olarak değerlendirmenin mümkün olmadığı anlaşılıyor.",,
ess_1514,Kimsenin saçı dökülmezse o ürünü kullanmaya ne hacet!,,
news_81,Ancak bunu Türkiye'nin üyeliğini engelleyecek bir unsur olarak görmez.,,
ess_539,"Çocuklarınız, oturacak bir okul sırasına sahip olamayabilir.",,
ins_1938,"Yıl arifesinde, tüketilenler arasında ilk akla gelen markanın Çiko olmadığı, daha yeni şekerlerin tercih edildiğini gösterir.",,
pop_62,"""İstanbul aslında deprem kuşağının tam göbeğindeymiş.",,
bio_1386,Mücadelem süresince coşkum bu korkuma eşlik etti.,,
bio_562,Müzikte ne olup bitiyor? Almanya'yı bilmek kolay...,,
bio_1990,Bizim Şefik dert dağıtım merkezi sanki.,,
ins_808,1. yakın çevremizde hangi sağlık kurumları var?,,
news_1406,Dönüp de soruyorsunuz,,
bio_307,Ben ortaokula başladığımdan bir yıl önce okulun müdürü bir öğrenci tarafından tabancayla vurularak öldürülmüş.,,
ins_920,Ben de bu erdemin yüksek bir derecesine sahibim.,,
ess_329,"Birkaç yıldır, Kürt, Kıbrıs, Ermeni ve diğer azınlık sorunlarının, AB'ye girmenin, İslamcı kökenli bir partinin iktidara gelmesinin etkisi ve bunlara tepki olarak, milliyetçilik yükselmeye baladı.",,
ess_1832,"Önü bile özel dikilmiş, çünkü onun boyuna göre ön yok.",,
ess_825,Ölümle şakalaşabildiğimiz zaman parçaları.,,
news_697,Muhalefet partisi lideri bu savcının yaptığını 'sivil darbe' olarak nitelendirdi.,,
news_631,"Sürenin uzunluğu, önce toplantının tartışmalı geçtiği izlenimini doğurdu.",,
news_1690,"Bulak, Avrupa şampiyonu gibi teknik ve fiziki özelliklerini birleştirmek istediğini söyledi.",,
ins_636,"Anadolu Selçukluları devrinden Osmanlıların son yıllarına kadar bir esnaf ve sanatkâr örgütü olarak bilinen Ahilerin her köy, her kasabada ve şehirde, ocakları, odaları ve tekkeleri vardı.",,
ins_274,- Aynı olay Amerika'da da olmuş.,,
ess_1924,"Yalnız, neden yaşamak ıstırap verici bir şey?",,
news_1043,Kapatma kararı alınmaması sonrası AKP'lilerin sevinçleri TBMM Genel Kurul salonuna da yansıdı.,,
news_291,"""Kıbrıs çözerse Türkiye'ye tarih verilmesine kimse itiraz etmeyecek"" görüşünü dile getiren Papendreu, ""Türkiye için çarpışırız, ama Almanya'nın ne yapacağı önemli"" dedi.",,
bio_1666,"Oysa 1961 sonbaharında, yani 1961 ekiminde Orta Doğu Teknik Üniversitesi bütün bu gereçlerden yoksun bulunmaktaydı.",,
ins_1892,Bunlar o zamana göre (Hitler'in sınıra dayandığı 1940'lı savaş yılları) büyük lükstü.,,
