Token ID,Surface Form,Surface Form 2,Surface Form 3,Surface Form 4,,,,,,,Annotations link
1,anlatmayı,,,,,,,,,,
2,demesiyle,,,,,,,,,,
3,bulunmuyorum,,,,,,,,,,
4,bulunmakta,bulunmada,,,,,,,,,
5,dinleneceğimiz,,,,,,,,,,
6,anlaşılıyor,,,,,,,,,,
7,birleştirmek,,,,,,,,,,
8,alınmaması,,,,,,,,,,
9,ısınmaya,,,,,,,,,,
10,olup,olunca,olarak,olsa,,,,,,,
11,yapacakları,yapacağı,,,,,,,,,
12,oynayacağımız,,,,,,,,,,
13,duymakta,duymada,,,,,,,,,
14,durdurmak,durdurma,,,,,,,,,
15,vuruluyorken,,,,,,,,,,
16,yapacağımız,,,,,,,,,,
17,taşıyıp,taşıyarak,taşıyınca,taşısa,,,,,,,
18,atlamış,,,,,,,,,,
19,denilecek,denecek,,,,,,,,,
20,olup,olunca ,olarak,olsa,,,,,,,
21,yürütmeyi,,,,,,,,,,
22,gülen,,,,,,,,,,
23,etmeye,,,,,,,,,,
24,gitmeyen,,,,,,,,,,
25,bilmek,bilme,,,,,,,,,
