# Abbr
G/P	0	1
0	0	0
1	3	0

# Aspect
G/P	0	1
0	25	80
1	42	1112

# Case
G/P	0	1
0	133	236
1	218	5331

# Evident
G/P	0	1
0	3	13
1	17	482

# Mood
G/P	0	1
0	11	34
1	47	308

# NumType
G/P	0	1
0	2	22
1	17	235

# Number
G/P	0	1
0	30	264
1	183	6531

# Number[psor]
G/P	0	1
0	49	97
1	80	1631

# Person
G/P	0	1
0	30	264
1	183	6531

# Person[psor]
G/P	0	1
0	15	97
1	80	1665

# Polarity
G/P	0	1
0	19	115
1	58	1952

# Polite
G/P	0	1
0	0	0
1	2	0

# PronType
G/P	0	1
0	0	1
1	10	10

# Reflex
G/P	0	1
0	0	0
1	3	0

# Tense
G/P	0	1
0	25	91
1	47	1446

# VerbForm
G/P	0	1
0	0	28
1	24	506

# Voice
G/P	0	1
0	14	48
1	46	286

