# Abbr
G/P	0	1
0	0	8
1	3	0

# Aspect
G/P	0	1
0	400	136
1	148	777

# Case
G/P	0	1
0	385	139
1	287	5017

# Evident
G/P	0	1
0	5	22
1	71	428

# Mood
G/P	0	1
0	16	37
1	178	203

# NumType
G/P	0	1
0	2	26
1	11	230

# Number
G/P	0	1
0	71	202
1	331	6529

# Number[psor]
G/P	0	1
0	64	77
1	82	1716

# Person
G/P	0	1
0	67	202
1	331	6533

# Person[psor]
G/P	0	1
0	30	77
1	82	1750

# Polarity
G/P	0	1
0	51	166
1	92	2076

# Polite
G/P	0	1
0	0	0
1	2	0

# PronType
G/P	0	1
0	0	223
1	7	14

# Reflex
G/P	0	1
0	0	36
1	0	0

# Tense
G/P	0	1
0	72	76
1	118	1418

# Typo
G/P	0	1
0	0	0
1	1	0

# VerbForm
G/P	0	1
0	24	132
1	93	974

# Voice
G/P	0	1
0	7	88
1	100	262

